EmployeeNumber,Age,AgeGroup,Gender,MaritalStatus,EducationField,Department,JobRole,JobLevel,BusinessTravel,MonthlyIncome,PercentSalaryHike,StockOptionLevel,JobSatisfaction,EnvironmentSatisfaction,RelationshipSatisfaction,WorkLifeBalance,JobInvolvement,YearsAtCompany,TenureBand,YearsInCurrentRole,YearsSinceLastPromotion,TotalWorkingYears,NumCompaniesWorked,OverTime,OverTime_Flag,DistanceFromHome,FlightRiskScore,RiskSegment,Attrition,Attrition_Flag
982,30,26-35,Male,Divorced,Other,Sales,Sales Executive,3,Travel_Rarely,7264,11,1,3,3,1,4,3,8,6-10 yrs,4,7,10,5,No,0,8,0.2974565560821485,Stable but Disengaged,No,0
983,38,36-45,Female,Single,Technical Degree,Sales,Sales Executive,2,Non-Travel,5666,13,0,4,3,2,3,3,5,3-5 yrs,3,1,6,1,Yes,1,10,0.5884531332280147,Moderate Risk,No,0
984,35,26-35,Male,Divorced,Life Sciences,Sales,Sales Executive,3,Travel_Rarely,7823,13,1,4,4,2,3,3,10,6-10 yrs,9,0,12,6,No,0,3,0.25323591363875725,Stable but Disengaged,No,0
985,39,36-45,Male,Single,Life Sciences,Sales,Sales Executive,3,Travel_Rarely,7880,18,0,3,1,4,3,4,8,6-10 yrs,7,0,9,0,No,0,2,0.3409689310163244,Stable but Disengaged,No,0
986,40,36-45,Female,Single,Life Sciences,Sales,Sales Executive,4,Non-Travel,13194,16,0,2,2,4,2,4,1,0-2 yrs,0,0,22,4,Yes,1,24,0.7358359662980516,High Flight Risk,Yes,1
987,47,46-60,Male,Divorced,Medical,Research & Development,Manufacturing Director,2,Travel_Frequently,5067,19,0,3,3,3,4,4,19,11-20 yrs,10,2,20,1,Yes,1,16,0.5930950500263297,Moderate Risk,No,0
990,36,36-45,Male,Divorced,Technical Degree,Sales,Sales Executive,2,Non-Travel,5079,13,2,4,1,4,3,3,7,6-10 yrs,7,0,12,4,No,0,8,0.2896353343865192,Stable but Disengaged,No,0
991,31,26-35,Male,Single,Medical,Research & Development,Research Scientist,1,Non-Travel,2321,22,0,1,3,1,3,2,3,3-5 yrs,2,1,4,0,Yes,1,9,0.8786822011585046,High Flight Risk,Yes,1
992,33,26-35,Male,Single,Life Sciences,Sales,Manager,4,Non-Travel,17444,11,0,3,4,4,3,3,10,6-10 yrs,8,6,10,1,No,0,17,0.23524223275408113,Genuinely Retained,No,0
994,29,26-35,Female,Single,Life Sciences,Research & Development,Research Scientist,1,Travel_Rarely,2404,20,0,1,4,3,3,2,0,0-2 yrs,0,0,3,6,Yes,1,10,0.885308056872038,High Flight Risk,Yes,1
995,33,26-35,Female,Single,Life Sciences,Research & Development,Research Scientist,1,Travel_Rarely,3452,18,0,4,2,1,3,3,3,3-5 yrs,2,0,5,3,No,0,13,0.31677066877303844,Stable but Disengaged,No,0
996,45,36-45,Female,Divorced,Medical,Research & Development,Laboratory Technician,1,Travel_Rarely,2270,14,2,4,4,4,3,3,5,3-5 yrs,3,0,8,3,No,0,1,0.32421932596103215,Stable but Disengaged,No,0
997,50,46-60,Male,Divorced,Medical,Research & Development,Research Director,4,Travel_Rarely,17399,22,1,4,4,3,2,3,5,3-5 yrs,4,1,32,9,No,0,1,0.21488283307003686,Genuinely Retained,No,0
998,33,26-35,Female,Married,Other,Research & Development,Healthcare Representative,2,Travel_Frequently,5488,13,1,2,3,1,3,4,6,6-10 yrs,5,1,6,1,Yes,1,1,0.7544944707740917,High Flight Risk,No,0
999,41,36-45,Male,Divorced,Medical,Research & Development,Research Director,5,Travel_Frequently,19419,17,1,3,1,2,4,3,18,11-20 yrs,16,0,21,2,No,0,9,0.14444181147972618,Genuinely Retained,No,0
1001,27,26-35,Female,Married,Technical Degree,Research & Development,Laboratory Technician,1,Travel_Rarely,2811,14,1,2,3,2,3,3,2,0-2 yrs,2,2,4,9,No,0,16,0.4926882569773565,Moderate Risk,No,0
1002,45,36-45,Male,Married,Life Sciences,Research & Development,Laboratory Technician,2,Non-Travel,3633,15,1,1,4,3,3,3,9,6-10 yrs,8,0,9,1,Yes,1,23,0.8498644023170091,High Flight Risk,No,0
1003,47,46-60,Female,Single,Life Sciences,Sales,Sales Executive,2,Travel_Rarely,4163,17,0,4,4,3,3,3,9,6-10 yrs,0,0,9,1,Yes,1,4,0.5942825171142707,Moderate Risk,No,0
1004,30,26-35,Female,Married,Life Sciences,Research & Development,Research Scientist,1,Travel_Rarely,2132,11,0,3,1,2,3,3,5,3-5 yrs,2,0,7,4,Yes,1,22,0.7090060558188521,High Flight Risk,Yes,1
1005,50,46-60,Male,Married,Life Sciences,Research & Development,Manufacturing Director,4,Travel_Rarely,13973,18,1,3,4,4,3,3,12,11-20 yrs,11,1,22,3,Yes,1,24,0.5667983149025803,Moderate Risk,No,0
1006,38,36-45,Male,Married,Medical,Research & Development,Research Scientist,1,Travel_Frequently,2684,17,1,3,3,2,2,3,2,0-2 yrs,1,0,3,0,No,0,10,0.4606924697209057,Moderate Risk,No,0
1007,46,46-60,Male,Divorced,Medical,Research & Development,Manufacturing Director,3,Travel_Rarely,10845,13,1,3,4,2,3,3,8,6-10 yrs,7,0,13,6,No,0,7,0.3097419694576093,Stable but Disengaged,No,0
1009,24,18-25,Female,Divorced,Medical,Research & Development,Manufacturing Director,2,Travel_Rarely,4377,15,2,3,4,2,3,2,4,3-5 yrs,2,3,5,1,No,0,17,0.38786203264876257,Stable but Disengaged,No,0
1010,35,26-35,Male,Divorced,Other,Research & Development,Laboratory Technician,1,Travel_Rarely,3743,24,1,2,3,4,1,2,4,3-5 yrs,2,0,5,1,Yes,1,14,0.8778725645076356,High Flight Risk,Yes,1
1011,31,26-35,Female,Married,Life Sciences,Research & Development,Manufacturing Director,2,Travel_Frequently,4148,12,1,1,3,3,3,3,4,3-5 yrs,3,0,4,1,No,0,1,0.5569404949973671,Moderate Risk,No,0
1012,18,18-25,Male,Single,Life Sciences,Research & Development,Research Scientist,1,Non-Travel,1051,15,0,4,2,4,3,3,0,0-2 yrs,0,0,0,1,No,0,5,0.3495576619273302,Stable but Disengaged,No,0
1013,54,46-60,Female,Married,Technical Degree,Research & Development,Manufacturing Director,3,Travel_Rarely,10739,11,1,3,3,3,3,3,10,6-10 yrs,7,0,22,8,No,0,17,0.30585834649815696,Stable but Disengaged,No,0
1014,35,26-35,Female,Divorced,Medical,Research & Development,Healthcare Representative,3,Travel_Rarely,10388,11,1,3,3,3,2,3,16,11-20 yrs,10,10,16,1,Yes,1,25,0.6445550289626119,Moderate Risk,No,0
1015,30,26-35,Female,Married,Life Sciences,Research & Development,Research Director,3,Travel_Rarely,11416,12,3,1,2,3,2,4,8,6-10 yrs,7,1,9,0,Yes,1,8,0.820394944707741,High Flight Risk,No,0
1016,20,18-25,Female,Single,Medical,Research & Development,Research Scientist,1,Travel_Rarely,2600,15,0,1,4,1,3,2,1,0-2 yrs,0,0,1,1,Yes,1,11,0.8807438125329122,High Flight Risk,Yes,1
1017,30,26-35,Female,Single,Medical,Research & Development,Laboratory Technician,1,Travel_Frequently,2422,17,0,2,2,1,3,3,3,3-5 yrs,2,1,4,0,No,0,5,0.494285150078989,Moderate Risk,Yes,1
1018,26,26-35,Male,Married,Medical,Research & Development,Manufacturing Director,2,Travel_Rarely,5472,12,0,4,4,2,3,4,8,6-10 yrs,7,1,8,1,No,0,2,0.28299631384939444,Stable but Disengaged,No,0
1019,22,18-25,Male,Married,Life Sciences,Research & Development,Laboratory Technician,1,Travel_Rarely,2451,15,1,1,2,1,2,1,4,3-5 yrs,3,1,4,1,No,0,8,0.6248130595050027,Moderate Risk,No,0
1022,48,46-60,Male,Single,Life Sciences,Research & Development,Healthcare Representative,2,Travel_Rarely,4240,13,0,3,1,4,3,2,2,0-2 yrs,2,2,19,2,No,0,6,0.394304897314376,Stable but Disengaged,No,0
1024,48,46-60,Male,Single,Life Sciences,Research & Development,Healthcare Representative,3,Travel_Rarely,10999,14,0,3,3,2,3,2,15,11-20 yrs,11,4,27,7,No,0,4,0.29062006319115324,Stable but Disengaged,No,0
1025,41,36-45,Female,Single,Medical,Research & Development,Manufacturing Director,2,Travel_Rarely,5003,14,0,3,4,2,3,3,2,0-2 yrs,2,2,8,6,No,0,7,0.38626908899420753,Stable but Disengaged,No,0
1026,39,36-45,Female,Married,Life Sciences,Research & Development,Manufacturing Director,4,Travel_Rarely,12742,16,1,4,4,3,3,2,21,20+ yrs,6,11,21,1,No,0,1,0.1739296998420221,Genuinely Retained,No,0
1027,27,26-35,Female,Married,Life Sciences,Research & Development,Manufacturing Director,2,Travel_Rarely,4227,18,1,4,1,2,3,3,3,3-5 yrs,2,2,4,0,No,0,2,0.30860847814639286,Stable but Disengaged,No,0
1028,35,26-35,Male,Divorced,Other,Research & Development,Laboratory Technician,1,Travel_Rarely,3917,20,1,4,2,1,2,3,3,3-5 yrs,2,1,3,1,No,0,10,0.36187335439705115,Stable but Disengaged,No,0
1029,42,36-45,Male,Married,Marketing,Sales,Manager,5,Travel_Rarely,18303,13,0,3,4,2,4,3,1,0-2 yrs,0,0,21,6,No,0,5,0.19869536598209586,Genuinely Retained,No,0
1030,50,46-60,Male,Married,Life Sciences,Research & Development,Laboratory Technician,1,Travel_Rarely,2380,18,0,4,1,2,3,3,1,0-2 yrs,0,0,8,4,No,0,9,0.33306082148499216,Stable but Disengaged,No,0
1032,59,46-60,Female,Single,Life Sciences,Research & Development,Manufacturing Director,4,Travel_Rarely,13726,13,0,4,3,1,3,2,5,3-5 yrs,3,4,30,3,Yes,1,2,0.5035663507109005,Moderate Risk,No,0
1033,37,36-45,Female,Married,Medical,Research & Development,Healthcare Representative,2,Travel_Rarely,4777,15,0,2,1,1,1,1,1,0-2 yrs,0,0,15,5,No,0,11,0.5744826224328594,Moderate Risk,Yes,1
1034,55,46-60,Male,Married,Medical,Research & Development,Healthcare Representative,2,Travel_Frequently,6385,14,2,2,3,4,3,3,8,6-10 yrs,7,6,17,3,Yes,1,18,0.740047393364929,High Flight Risk,No,0
1035,41,36-45,Female,Divorced,Life Sciences,Research & Development,Research Director,5,Non-Travel,19973,22,2,3,2,2,3,1,21,20+ yrs,16,5,21,1,No,0,7,0.18110716166403373,Genuinely Retained,No,0
1036,38,36-45,Male,Single,Life Sciences,Sales,Sales Executive,2,Travel_Rarely,6861,12,0,4,2,3,3,3,1,0-2 yrs,0,0,19,8,Yes,1,3,0.5858675618746708,Moderate Risk,No,0
1037,26,26-35,Male,Single,Medical,Sales,Sales Executive,2,Non-Travel,4969,18,0,1,2,4,3,1,2,0-2 yrs,2,2,7,8,No,0,29,0.5532938388625592,Moderate Risk,Yes,1
1038,52,46-60,Female,Married,Marketing,Sales,Manager,5,Travel_Rarely,19845,15,1,4,1,4,3,1,32,20+ yrs,14,6,33,1,No,0,2,0.07162190626645601,Genuinely Retained,Yes,1
1039,44,36-45,Female,Married,Medical,Sales,Sales Executive,4,Travel_Rarely,13320,18,1,4,4,3,3,4,12,11-20 yrs,11,11,23,3,Yes,1,28,0.49034228541337543,Moderate Risk,No,0
1040,50,46-60,Female,Married,Life Sciences,Sales,Sales Executive,2,Non-Travel,6347,12,1,3,4,1,3,3,18,11-20 yrs,7,0,19,0,No,0,1,0.332114270668773,Stable but Disengaged,No,0
1042,36,36-45,Female,Single,Life Sciences,Research & Development,Laboratory Technician,1,Travel_Rarely,2743,16,0,1,3,3,3,4,17,11-20 yrs,13,15,18,1,No,0,16,0.53923775671406,Moderate Risk,Yes,1
1043,39,36-45,Female,Single,Medical,Research & Development,Manufacturing Director,3,Travel_Frequently,10880,13,0,1,4,3,3,3,21,20+ yrs,6,2,21,1,Yes,1,22,0.7435400210637179,High Flight Risk,No,0
1044,33,26-35,Female,Single,Life Sciences,Sales,Sales Representative,1,Non-Travel,2342,19,0,4,2,4,2,2,2,0-2 yrs,2,2,3,0,No,0,8,0.3809610321221696,Stable but Disengaged,No,0
1045,45,36-45,Female,Married,Life Sciences,Sales,Manager,4,Travel_Rarely,17650,13,1,4,4,2,4,3,9,6-10 yrs,3,1,26,3,No,0,11,0.102239336492891,Genuinely Retained,No,0
1046,32,26-35,Female,Single,Medical,Research & Development,Laboratory Technician,1,Non-Travel,4025,12,0,3,4,2,3,3,8,6-10 yrs,7,7,10,9,No,0,29,0.3815692469720906,Stable but Disengaged,No,0
1047,34,26-35,Male,Divorced,Marketing,Sales,Sales Executive,2,Travel_Rarely,9725,11,1,4,2,4,2,4,15,11-20 yrs,1,0,16,0,No,0,1,0.270704318062138,Stable but Disengaged,No,0
1048,59,46-60,Male,Married,Technical Degree,Sales,Manager,3,Travel_Rarely,11904,14,1,4,2,3,1,3,6,6-10 yrs,4,0,14,3,Yes,1,1,0.6202553975776725,Moderate Risk,No,0
1049,45,36-45,Male,Single,Medical,Human Resources,Human Resources,1,Travel_Rarely,2177,16,0,2,2,1,3,3,6,6-10 yrs,3,0,6,1,No,0,24,0.4893654555028963,Moderate Risk,No,0
1050,53,46-60,Female,Married,Marketing,Sales,Sales Executive,3,Travel_Frequently,7525,12,1,2,3,1,3,2,15,11-20 yrs,7,6,30,2,No,0,2,0.41054107424960506,Stable but Disengaged,No,0
1052,36,36-45,Male,Divorced,Other,Research & Development,Laboratory Technician,2,Travel_Rarely,4834,14,1,3,1,2,2,3,1,0-2 yrs,0,0,9,7,No,0,15,0.44054897314375996,Stable but Disengaged,Yes,1
1053,26,26-35,Male,Married,Life Sciences,Research & Development,Research Scientist,1,Travel_Frequently,2042,14,1,1,1,2,3,3,3,3-5 yrs,2,1,6,6,Yes,1,2,0.881620589784097,High Flight Risk,Yes,1
1055,34,26-35,Female,Married,Life Sciences,Sales,Sales Representative,1,Travel_Rarely,2220,19,1,3,3,4,3,3,1,0-2 yrs,1,0,1,1,Yes,1,10,0.71807925223802,High Flight Risk,No,0
1056,28,26-35,Male,Married,Medical,Sales,Sales Representative,1,Travel_Rarely,1052,22,0,2,4,2,3,3,1,0-2 yrs,0,0,1,1,No,0,10,0.5137137967351237,Moderate Risk,No,0
1060,38,36-45,Male,Married,Other,Research & Development,Research Scientist,1,Travel_Frequently,2821,16,1,3,3,1,3,3,2,0-2 yrs,2,2,8,3,No,0,3,0.4092496050552923,Stable but Disengaged,No,0
1061,50,46-60,Male,Married,Medical,Research & Development,Research Director,5,Travel_Rarely,19237,11,1,3,2,4,2,3,8,6-10 yrs,1,7,29,2,Yes,1,2,0.5713586097946288,Moderate Risk,No,0
1062,37,36-45,Female,Single,Other,Research & Development,Healthcare Representative,2,Travel_Rarely,4107,15,0,2,4,1,2,3,4,3-5 yrs,3,0,8,3,No,0,3,0.5240389678778304,Moderate Risk,No,0
1066,40,36-45,Male,Married,Marketing,Sales,Sales Executive,2,Travel_Rarely,8396,14,1,1,3,2,2,3,7,6-10 yrs,7,7,8,1,No,0,26,0.5547011585044761,Moderate Risk,No,0
1068,26,26-35,Female,Divorced,Medical,Research & Development,Research Scientist,1,Travel_Frequently,2007,13,2,3,1,3,3,2,5,3-5 yrs,3,1,5,1,No,0,1,0.4103225381779884,Stable but Disengaged,No,0
1069,46,46-60,Male,Divorced,Medical,Research & Development,Research Director,5,Travel_Rarely,19627,17,2,4,4,4,3,3,2,0-2 yrs,2,2,23,9,No,0,1,0.1489178515007899,Genuinely Retained,No,0
1070,54,46-60,Female,Married,Life Sciences,Sales,Sales Executive,3,Travel_Rarely,10686,11,1,3,3,2,3,2,9,6-10 yrs,4,7,13,6,No,0,2,0.30891653501843075,Stable but Disengaged,No,0
1071,56,46-60,Female,Married,Medical,Research & Development,Research Scientist,1,Travel_Frequently,2942,19,1,3,1,2,3,3,5,3-5 yrs,4,0,18,2,No,0,9,0.40047525013164825,Stable but Disengaged,No,0
1073,36,36-45,Female,Single,Medical,Research & Development,Manufacturing Director,3,Travel_Rarely,8858,11,0,4,4,2,2,2,14,11-20 yrs,8,7,15,0,No,0,12,0.28233543970510794,Stable but Disengaged,No,0
1074,55,46-60,Male,Single,Medical,Research & Development,Manager,4,Non-Travel,16756,15,0,1,3,2,4,2,9,6-10 yrs,7,6,31,7,No,0,2,0.36165481832543445,Stable but Disengaged,No,0
1076,43,36-45,Male,Divorced,Medical,Sales,Sales Executive,3,Travel_Rarely,10798,13,1,4,3,3,3,2,1,0-2 yrs,0,0,18,5,No,0,25,0.24440363349131122,Genuinely Retained,No,0
1077,20,18-25,Female,Single,Marketing,Sales,Sales Representative,1,Travel_Frequently,2323,14,0,4,4,2,3,3,2,0-2 yrs,2,0,2,1,Yes,1,9,0.6311611374407583,Moderate Risk,Yes,1
1079,21,18-25,Female,Single,Life Sciences,Research & Development,Laboratory Technician,1,Travel_Rarely,1416,13,0,1,3,1,2,2,1,0-2 yrs,0,1,1,1,No,0,10,0.643213533438652,Moderate Risk,Yes,1
1080,46,46-60,Female,Divorced,Life Sciences,Research & Development,Research Scientist,2,Travel_Rarely,4615,23,3,1,4,1,3,2,16,11-20 yrs,13,1,19,8,Yes,1,8,0.8220221169036337,High Flight Risk,No,0
1081,51,46-60,Male,Married,Life Sciences,Research & Development,Research Scientist,1,Travel_Rarely,2461,12,3,3,1,3,4,3,10,6-10 yrs,0,2,18,9,Yes,1,4,0.6430410742496051,Moderate Risk,Yes,1
1082,28,26-35,Male,Single,Technical Degree,Research & Development,Healthcare Representative,3,Non-Travel,8722,12,0,1,2,1,2,2,10,6-10 yrs,7,1,10,1,No,0,24,0.5437677725118484,Moderate Risk,Yes,1
1083,26,26-35,Male,Married,Medical,Research & Development,Laboratory Technician,1,Travel_Rarely,3955,16,2,1,1,1,3,2,5,3-5 yrs,3,1,6,1,No,0,1,0.5564731437598736,Moderate Risk,No,0
1084,30,26-35,Male,Married,Other,Research & Development,Manufacturing Director,2,Travel_Rarely,9957,15,1,1,3,3,2,3,6,6-10 yrs,2,0,7,0,No,0,20,0.5407609268035808,Moderate Risk,No,0
1085,41,36-45,Female,Married,Technical Degree,Research & Development,Research Scientist,1,Travel_Rarely,3376,13,0,3,2,3,3,4,10,6-10 yrs,6,0,10,1,No,0,7,0.3834044233807267,Stable but Disengaged,No,0
1088,38,36-45,Female,Married,Life Sciences,Research & Development,Healthcare Representative,3,Travel_Rarely,8823,18,1,3,3,1,2,2,19,11-20 yrs,9,1,20,0,No,0,17,0.3535373880989995,Stable but Disengaged,No,0
1092,40,36-45,Male,Married,Technical Degree,Research & Development,Healthcare Representative,3,Travel_Rarely,10322,20,1,4,1,4,3,3,11,11-20 yrs,10,11,14,4,No,0,20,0.22441679831490258,Genuinely Retained,No,0
1094,27,26-35,Male,Married,Life Sciences,Research & Development,Laboratory Technician,1,Non-Travel,4621,19,3,3,1,4,3,1,3,3-5 yrs,2,1,3,1,No,0,8,0.38779225908372833,Stable but Disengaged,No,0
1096,55,46-60,Male,Married,Life Sciences,Research & Development,Manufacturing Director,3,Travel_Frequently,10976,18,1,2,4,2,3,3,3,3-5 yrs,2,1,23,3,No,0,2,0.4041956292785677,Stable but Disengaged,No,0
1097,28,26-35,Female,Single,Other,Research & Development,Research Scientist,2,Travel_Rarely,3660,13,0,3,3,4,4,3,8,6-10 yrs,7,1,10,3,No,0,10,0.3354133754607688,Stable but Disengaged,No,0
1098,44,36-45,Male,Married,Medical,Human Resources,Human Resources,3,Travel_Rarely,10482,14,1,1,2,4,3,2,20,11-20 yrs,6,3,24,9,No,0,1,0.450231700895208,Moderate Risk,Yes,1
1099,33,26-35,Male,Divorced,Life Sciences,Research & Development,Healthcare Representative,3,Travel_Rarely,7119,15,1,4,4,3,3,2,3,3-5 yrs,2,1,9,4,No,0,5,0.2781503422854134,Stable but Disengaged,No,0
1100,35,26-35,Male,Single,Technical Degree,Sales,Sales Executive,3,Travel_Rarely,9582,22,0,1,4,1,3,3,8,6-10 yrs,7,4,9,0,Yes,1,4,0.7897103738809901,High Flight Risk,Yes,1
1101,33,26-35,Female,Single,Medical,Research & Development,Research Scientist,2,Travel_Frequently,4508,22,0,3,1,2,3,2,13,11-20 yrs,7,3,14,1,No,0,29,0.3639823591363876,Stable but Disengaged,Yes,1
1102,28,26-35,Male,Divorced,Life Sciences,Research & Development,Laboratory Technician,1,Travel_Rarely,2207,16,1,3,1,4,2,3,4,3-5 yrs,2,2,4,1,No,0,15,0.46071616640337026,Moderate Risk,No,0
1103,34,26-35,Male,Single,Life Sciences,Research & Development,Healthcare Representative,2,Travel_Frequently,7756,17,0,4,1,3,2,3,6,6-10 yrs,2,0,7,0,No,0,3,0.31394154818325437,Stable but Disengaged,No,0
1105,37,36-45,Female,Divorced,Life Sciences,Sales,Sales Executive,2,Travel_Rarely,6694,14,3,4,4,3,3,2,1,0-2 yrs,0,0,8,2,Yes,1,10,0.587626382306477,Moderate Risk,No,0
1106,25,18-25,Male,Married,Technical Degree,Research & Development,Laboratory Technician,1,Travel_Rarely,3691,15,1,4,4,2,4,3,7,6-10 yrs,7,5,7,1,Yes,1,4,0.5542535545023697,Moderate Risk,Yes,1
1107,26,26-35,Male,Divorced,Medical,Research & Development,Laboratory Technician,1,Travel_Rarely,2377,20,1,3,1,3,2,3,1,0-2 yrs,1,0,1,1,No,0,21,0.4664257503949447,Moderate Risk,Yes,1
1108,33,26-35,Male,Single,Medical,Research & Development,Research Scientist,1,Travel_Rarely,2313,20,0,2,1,2,3,2,2,0-2 yrs,2,2,5,4,Yes,1,25,0.7979331226961559,High Flight Risk,Yes,1
1109,42,36-45,Male,Married,Medical,Research & Development,Manager,4,Travel_Rarely,17665,17,1,1,4,4,3,3,22,20+ yrs,6,13,23,0,No,0,2,0.3695813586097946,Stable but Disengaged,No,0
1111,28,26-35,Male,Divorced,Medical,Research & Development,Laboratory Technician,1,Travel_Frequently,2596,15,2,2,1,1,3,2,1,0-2 yrs,0,0,1,1,No,0,1,0.49745260663507107,Moderate Risk,Yes,1
1113,50,46-60,Male,Single,Other,Sales,Sales Executive,2,Travel_Frequently,4728,14,0,3,4,4,3,3,0,0-2 yrs,0,0,5,3,Yes,1,1,0.6941653501843076,High Flight Risk,Yes,1
1114,33,26-35,Female,Married,Life Sciences,Sales,Sales Executive,2,Travel_Frequently,4302,17,1,2,4,3,3,3,3,3-5 yrs,2,0,4,0,No,0,7,0.47448525539757774,Moderate Risk,No,0
1115,34,26-35,Male,Married,Life Sciences,Research & Development,Research Scientist,1,Non-Travel,2979,17,3,4,3,4,3,2,0,0-2 yrs,0,0,6,3,No,0,3,0.3292522380200106,Stable but Disengaged,No,0
1116,48,46-60,Male,Single,Medical,Research & Development,Manager,4,Non-Travel,16885,22,0,4,1,3,2,4,5,3-5 yrs,4,2,27,2,No,0,1,0.22029620853080573,Genuinely Retained,No,0
1117,45,36-45,Female,Married,Life Sciences,Sales,Sales Executive,2,Non-Travel,5593,13,1,3,2,4,3,2,15,11-20 yrs,10,4,15,1,No,0,9,0.34755529225908377,Stable but Disengaged,No,0
1118,52,46-60,Male,Single,Life Sciences,Research & Development,Healthcare Representative,3,Travel_Rarely,10445,19,0,2,2,4,3,3,8,6-10 yrs,6,4,18,7,No,0,7,0.3972880463401791,Stable but Disengaged,No,0
1119,38,36-45,Male,Divorced,Marketing,Sales,Sales Executive,3,Travel_Rarely,8740,14,2,3,3,2,3,2,8,6-10 yrs,7,2,9,0,Yes,1,10,0.631911532385466,Moderate Risk,No,0
1120,29,26-35,Female,Divorced,Life Sciences,Research & Development,Research Scientist,1,Travel_Rarely,2514,22,1,4,3,1,3,3,7,6-10 yrs,5,1,11,4,No,0,28,0.3166495523959979,Stable but Disengaged,No,0
1121,28,26-35,Female,Divorced,Medical,Research & Development,Manufacturing Director,3,Travel_Rarely,7655,17,3,2,4,2,2,3,9,6-10 yrs,7,1,10,0,No,0,3,0.47417193259610324,Moderate Risk,No,0
1124,46,46-60,Male,Married,Marketing,Sales,Manager,4,Travel_Rarely,17465,12,1,3,1,4,3,3,12,11-20 yrs,9,4,23,3,No,0,3,0.23002106371774622,Genuinely Retained,No,0
1125,38,36-45,Male,Single,Marketing,Sales,Sales Executive,3,Travel_Rarely,7351,16,0,2,4,3,3,3,1,0-2 yrs,0,0,10,7,No,0,2,0.4473736176935229,Stable but Disengaged,No,0
1126,43,36-45,Female,Married,Life Sciences,Research & Development,Manufacturing Director,3,Travel_Frequently,10820,11,1,1,3,3,3,3,8,6-10 yrs,7,0,18,8,No,0,27,0.4766719325961032,Moderate Risk,No,0
1127,39,36-45,Male,Divorced,Life Sciences,Research & Development,Healthcare Representative,4,Travel_Frequently,12169,11,3,4,1,4,3,3,18,11-20 yrs,7,11,21,7,No,0,2,0.18746445497630332,Genuinely Retained,Yes,1
1128,40,36-45,Male,Single,Medical,Research & Development,Research Director,5,Travel_Rarely,19626,14,0,3,3,1,4,2,20,11-20 yrs,7,4,21,1,No,0,14,0.13726171669299633,Genuinely Retained,No,0
1131,21,18-25,Female,Single,Technical Degree,Research & Development,Research Scientist,1,Travel_Rarely,2070,11,0,2,4,3,4,2,2,0-2 yrs,2,2,2,1,Yes,1,1,0.750492364402317,High Flight Risk,No,0
1132,39,36-45,Male,Single,Life Sciences,Research & Development,Laboratory Technician,2,Non-Travel,6782,15,0,2,3,3,2,3,5,3-5 yrs,4,0,9,9,No,0,9,0.4933662453923118,Moderate Risk,No,0
1133,36,36-45,Male,Single,Life Sciences,Research & Development,Manufacturing Director,2,Non-Travel,7779,20,0,4,1,1,3,3,11,11-20 yrs,9,0,18,2,No,0,18,0.2511993154291733,Stable but Disengaged,No,0
1135,31,26-35,Male,Married,Life Sciences,Sales,Sales Representative,1,Travel_Frequently,2791,12,1,4,3,1,3,4,2,0-2 yrs,2,2,3,0,No,0,20,0.3262322274881517,Stable but Disengaged,No,0
1136,28,26-35,Male,Married,Life Sciences,Research & Development,Research Scientist,1,Travel_Rarely,3201,17,0,2,1,1,1,2,5,3-5 yrs,3,0,6,0,No,0,2,0.581080832016851,Moderate Risk,No,0
1137,35,26-35,Male,Divorced,Marketing,Sales,Sales Executive,2,Travel_Frequently,4968,11,1,4,4,4,3,3,5,3-5 yrs,2,0,5,1,No,0,11,0.29580437072143234,Stable but Disengaged,No,0
1138,49,46-60,Male,Married,Technical Degree,Sales,Sales Executive,4,Travel_Rarely,13120,17,1,2,4,2,3,2,9,6-10 yrs,8,2,22,6,No,0,8,0.3666153238546604,Stable but Disengaged,No,0
1140,34,26-35,Male,Single,Life Sciences,Research & Development,Manufacturing Director,2,Travel_Frequently,4033,11,0,3,4,4,2,3,3,3-5 yrs,2,0,5,2,No,0,2,0.44398499210110587,Stable but Disengaged,No,0
1143,29,26-35,Female,Divorced,Life Sciences,Research & Development,Research Scientist,1,Travel_Frequently,3291,14,2,2,4,4,2,3,7,6-10 yrs,5,1,8,0,No,0,10,0.5251329647182729,Moderate Risk,No,0
1148,42,36-45,Male,Single,Medical,Research & Development,Laboratory Technician,2,Travel_Rarely,4272,19,0,4,2,1,3,1,1,0-2 yrs,0,0,16,4,No,0,29,0.31313454449710376,Stable but Disengaged,No,0
1150,29,26-35,Male,Married,Medical,Research & Development,Manufacturing Director,2,Travel_Rarely,5056,15,1,4,2,3,2,2,10,6-10 yrs,7,1,10,1,Yes,1,8,0.6323775671406002,Moderate Risk,No,0
1152,38,36-45,Male,Married,Human Resources,Human Resources,Human Resources,1,Travel_Rarely,2844,13,1,3,3,4,4,4,7,6-10 yrs,6,5,7,1,No,0,1,0.3465073723012112,Stable but Disengaged,No,0
1154,28,26-35,Male,Divorced,Life Sciences,Research & Development,Research Scientist,1,Travel_Frequently,2703,14,1,3,3,4,3,2,3,3-5 yrs,1,0,3,1,Yes,1,6,0.707992364402317,High Flight Risk,No,0
1156,18,18-25,Male,Single,Medical,Research & Development,Laboratory Technician,1,Non-Travel,1904,12,0,3,3,4,3,3,0,0-2 yrs,0,0,0,1,No,0,8,0.42390731964191686,Stable but Disengaged,Yes,1
